OSM_ID,Name,latitude,longitude,Amenity_Type,Cuisine,Price_Level_OSM,Website,Review_Text,Review_Sentiment_Score,Final_NLP_Rating
714567078,Cà Phê Acoustic,10.7811643,106.6898451,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.94,4.85
714567113,Cà Phê Sỏi Đá,10.7809198,106.689929,cafe,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.71,0.7250000000000001
715623189,Cà Phê Du Miên,10.7923386,106.6760528,cafe,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.96,0.10000000000000009
718436409,Cà Phê Mê Khúc,10.7987704,106.6865074,cafe,,,,"Giá cả hợp lý, chắc chắn sẽ quay lại!",0.85,4.625
729602712,Nhà Hàng BBQ Chicken,10.768208,106.6841501,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.61,4.0249999999999995
729602781,Nhà Hàng Au Tresor,10.772698,106.7048299,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.73,0.675
746932572,Cà Phê Noir,10.8035512,106.6878557,cafe,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.67,0.825
863420423,Cà Phê Vườn Xuân,10.7926596,106.6797398,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.72,4.3
863420777,,10.7923478,106.6796389,restaurant,,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.73,0.675
924797880,Nhà Hàng Bờ Sông,10.789502,106.711158,restaurant,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.88,0.3
939234243,Nhà Hàng Riverside Saigon,10.7728736,106.7062835,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.74,4.35
939234266,Nhà Hàng Hai Lúa Sài Gòn,10.7807008,106.7067111,restaurant,,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.89,4.7250000000000005
943230073,Cà Phê Vườn Kiểng,10.7757808,106.7071741,cafe,,,,"Chờ đợi quá lâu, món ăn không như quảng cáo.",-0.74,0.65
946794472,Cà Phê Spotlight,10.7645525,106.7036887,cafe,regional,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.69,4.225
946794499,Cà Phê Màu Hoa Anh Đào,10.7814169,106.7061129,cafe,,,,"Không gian ấm cúng, trải nghiệm ẩm thực tuyệt hảo.",0.93,4.825
946794525,The Coffee House,10.7809412,106.7064002,cafe,coffee_shop;vietnamese,,,"Thái độ nhân viên không tốt, không hài lòng.",-0.73,0.675
947763567,Cà Phê Trùng 3T,10.7805044,106.7072351,cafe,coffee_shop,,,"Món ăn tuyệt vời, phục vụ nhanh chóng.",0.74,4.35
